supervisor_id,supervisor_name,paper_id,title,abstract,year
s1,Kaan Aksit,FhyBsnQAAAAJ:5awf1xo2G04C,Learned Single-Pass Multitasking Perceptual Graphics for Immersive Displays,"Emerging immersive display technologies efficiently utilize resources with perceptual graphics methods such as foveated rendering and denoising. Running multiple perceptual graphics methods challenges devices with limited power and computational resources. We propose a computationally-lightweight learned multitasking perceptual graphics model. Given RGB images and text-prompts, our model performs text-described perceptual tasks in a single inference step. Simply daisy-chaining multiple models or training dedicated models can lead to model management issues and exhaust computational resources. In contrast, our flexible method unlocks consistent high quality perceptual effects with reasonable compute, supporting various permutations at varied intensities using adjectives in text prompts (e.g., ''mildly'', ''lightly''). Text-guidance provides ease of use for dynamic requirements such as creative …",2025
s1,Kaan Aksit,FhyBsnQAAAAJ:-_dYPAW6P2MC,Learned Display Radiance Fields with Lensless Cameras,"Calibrating displays is a basic and regular task that content creators must perform to maintain optimal visual experience, yet it remains a troublesome issue. Measuring display characteristics from different viewpoints often requires bulky equipment and a dark room, making it inaccessible to most users. To avoid such hardware requirements in display calibrations, our work co-designs a lensless camera and an Implicit Neural Representation based algorithm for capturing display characteristics from various viewpoints. More specifically, our pipeline enables efficient reconstruction of light fields emitted from a display from a viewing cone of 46.6° × 37.6°. Our emerging pipeline paves the initial steps towards effortless display calibration and characterization.",2025
s1,Kaan Aksit,FhyBsnQAAAAJ:VL0QpB8kHFEC,SpecTrack: Learned Multi-Rotation Tracking via Speckle Imaging,"Precision pose detection is increasingly demanded in fields such as personal fabrication, Virtual Reality (VR), and robotics due to its critical role in ensuring accurate positioning information. However, conventional vision-based systems used in these systems often struggle with achieving high precision and accuracy, particularly when dealing with complex environments or fast-moving objects. To address these limitations, we investigate Laser Speckle Imaging (LSI), an emerging optical tracking method that offers promising potential for improving pose estimation accuracy. Specifically, our proposed LSI-Based Tracking (SpecTrack) leverages the captures from a lensless camera and a retro-reflector marker with a coded aperture to achieve multi-axis rotational pose estimation with high precision. Our extensive trials using our in-house built testbed have shown that SpecTrack achieves an accuracy and of 0.31° (std = 0.43° …",2024
s1,Kaan Aksit,FhyBsnQAAAAJ:1yQoGdGgb4wC,Beaming display using thin holographic waveguides for wider head orientation angle range,"Augmented Reality (AR) glasses face fundamental challenges related to technical trade-offs. Emerging Beaming Displays (BDs) offer a compelling solution by separating the active and passive components. However, existing BD-based AR glasses have yet to achieve a thin and lightweight design with wide incident projection angles. This work proposes an eyepiece for BDs, including a holographic waveguide with tailored in- and out-coupling gratings. The proposed design aims to achieve a millimeter-thin form factor with a wide tolerance for incident angles, thus overcoming the limitations of existing designs. We have constructed proof-of-concept passive AR glasses prototypes, all approximately 2mm thick, including one in the form of conventional eyeglasses, and demonstrated an acceptable lateral angle of incidence of up to 90 degrees.",2024
s1,Kaan Aksit,FhyBsnQAAAAJ:j8SEvjWlNXcC,Foveation Improves Payload Capacity in Steganography,"Steganography finds its use in visual medium such as providing metadata and watermarking. With support of efficient latent representations and foveated rendering, we trained models that improve existing capacity limits from 100 to 500 bits, while achieving better accuracy of up to 1 failure bit out of 2000, at 200K test bits. Finally, we achieve a comparable visual quality of 31.47 dB PSNR and 0.13 LPIPS, showing the effectiveness of novel perceptual design in creating multi-modal latent representations in steganography.",2025
s1,Kaan Aksit,FhyBsnQAAAAJ:z_wVstp3MssC,Complex-Valued 2D Gaussian Representation for Computer-Generated Holography,"We propose a new hologram representation based on structured complex-valued 2D Gaussian primitives, which replaces per-pixel information storage and reduces the parameter search space by up to 10:1. To enable end-to-end training, we develop a differentiable rasterizer for our representation, integrated with a GPU-optimized light propagation kernel in free space. Our extensive experiments show that our method achieves up to 2.5x lower VRAM usage and 50% faster optimization while producing higher-fidelity reconstructions than existing methods. We further introduce a conversion procedure that adapts our representation to practical hologram formats, including smooth and random phase-only holograms. Our experiments show that this procedure can effectively suppress noise artifacts observed in previous methods. By reducing the hologram parameter search space, our representation enables a more scalable hologram estimation in the next-generation computer-generated holography systems.",2025
s2,Timo Betcke,HCAkiTYAAAAJ:m4fbC6XIj1kC,NLEVP: A collection of nonlinear eigenvalue problems,,2013
s2,Timo Betcke,HCAkiTYAAAAJ:iyewoVqAXLQC,Solving boundary integral problems with BEM++,,2015
s2,Timo Betcke,HCAkiTYAAAAJ:wUn16MOA3RoC,Stability and convergence of the method of fundamental solutions for Helmholtz problems on analytic domains,,2008
s2,Timo Betcke,HCAkiTYAAAAJ:m92CDrhVnKEC,Reviving the method of particular solutions,,2005
s2,Timo Betcke,HCAkiTYAAAAJ:ji7lAbPyDbYC,A Jacobi–Davidson-type projection method for nonlinear eigenvalue problems,,2004
s2,Timo Betcke,HCAkiTYAAAAJ:E7VqQtBCVmcC,Coupling finite and boundary element methods to solve the Poisson–Boltzmann equation for electrostatics in molecular solvation,"The Poisson–Boltzmann equation is widely used to model electrostatics in molecular systems. Available software packages solve it using finite difference, finite element, and boundary element methods, where the latter is attractive due to the accurate representation of the molecular surface and partial charges, and exact enforcement of the boundary conditions at infinity. However, the boundary element method is limited to linear equations and piecewise constant variations of the material properties. In this work, we present a scheme that couples finite and boundary elements for the linearised Poisson–Boltzmann equation, where the finite element method is applied in a confined solute region and the boundary element method in the external solvent region. As a proof‐of‐concept exercise, we use the simplest methods available: Johnson–Nédélec coupling with mass matrix and diagonal preconditioning …",2024
s2,Timo Betcke,HCAkiTYAAAAJ:Ej9njvOgR2oC,An application of the boundary element method (BEM) to the calculation of the single-scattering properties of very complex ice crystals in the microwave and sub-millimetre regions of the electromagnetic spectrum,"To improve the prediction of weather and climate models there is a need for the accurate computation of the single-scattering properties of randomly oriented complex atmospheric ice crystals. Here, we apply BEM to calculate these properties in the microwave and sub-millimetre region of the electromagnetic spectrum for the purposes of all-sky data assimilation. The properties are calculated at the frequencies of 50, 183, 243 and 664 GHz for the temperatures of− 83° C,− 43° C, and− 3° C. The particles are assumed to be complex aggregates of bullet rosettes with maximum dimensions that vary between 10 and 10, 000 μ m. Moreover, the rosette-aggregates are constructed to follow an observed mass-dimension power law that is consistent with an ice microphysics scheme in a weather model. To solve efficiently the BEM linear matrix equation, random orientation is simulated by fixing the particle with respect to the …",2024
s2,Timo Betcke,HCAkiTYAAAAJ:vVJNg6_NJEsC,PyExaFMM: an exercise in designing high-performance software with Python and Numba,"Numba is a game-changing compiler for high-performance computing with Python. It produces machine code that runs outside of the single-threaded Python interpreter, and that fully utilizes the resources of modern CPUs. This means support for parallel multithreading and auto-vectorization if available, as with compiled languages such as C++ or Fortran. In this article, we document our experience developing PyExaFMM, a multithreaded Numba implementation of the fast multipole method, an algorithm with a nonlinear data structure and a large amount of data organization. We find that designing performant Numba code for complex algorithms can be as challenging as writing in a compiled language.",2023
s2,Timo Betcke,HCAkiTYAAAAJ:XDrR66g3YHsC,An OSRC Preconditioner for the EFIE,"The electric field integral equation (EFIE) is a well-established tool to solve electromagnetic scattering problems. However, the development of efficient and easy-to-implement preconditioners remains an active research area. In recent years, operator preconditioning approaches have become popular for the EFIE, where the electric field boundary integral operator is regularized by multiplication with another convenient operator. A particularly intriguing choice is the exact magnetic-to-electric (MtE) operator as a regularizer. But, evaluating this operator is as expensive as solving the original EFIE. In work by El Bouajaji, Antoine, and Geuzaine, approximate local MtE surface operators for the time-harmonic Maxwell equation were proposed. These can be efficiently evaluated through the solution of sparse problems. This article demonstrates the preconditioning properties of these approximate MtE operators for the EFIE …",2023
s2,Timo Betcke,HCAkiTYAAAAJ:XAp-VaTZjjwC,M2L translation operators for kernel independent fast multipole methods on modern architectures,"Hardware trends favor algorithm designs that maximize data reuse per FLOP. We develop and benchmark high-performance Multipole-to-Local (M2L) translation operators for the kernel-independent Fast Multipole Method (kiFMM), a widely adopted FMM variant that supports a broad class of kernels and has been favored by recent implementations for its simple specification. Naively implemented, M2L is bandwidth-limited and therefore a key bottleneck in the FMM. State-of-the-art FFT-based M2L implementations, though elegant and with a fast setup time, suffer from low operational intensity and require architecture-specific optimizations. We demonstrate that a BLAS-based M2L, combined with randomized low-rank compression, achieves competitive performance with greater portability and a simpler implementation leveraging existing BLAS infrastructure, at the cost of higher setup times-especially for high-accuracy settings in double precision. Our Rust-based implementation enables seamless switching between strategies for fair benchmarking. Results on CPUs show that FFT-based M2L is favorable in low-accuracy settings or dynamic particle simulations, while BLAS-based M2L is favored for high-accuracy settings for static particle distributions, where its higher setup costs are amortized in many practical applications of the FMM.",2024
s2,Timo Betcke,HCAkiTYAAAAJ:JH5k92_tO-AC,Numerical aspects of Casimir energy computation in acoustic scattering,"Computing the Casimir force and energy between objects is a classical problem of quantum theory going back to the 1940s. Several different approaches have been developed in the literature often based on different physical principles. Most notably a representation of the Casimir energy in terms of determinants of boundary layer operators makes it accessible to a numerical approach. In this paper, we first give an overview of the various methods and discuss the connection to the Krein-spectral shift function and computational aspects. We propose variants of Krylov subspace methods for the computation of the Casimir energy for large-scale problems and demonstrate Casimir computations for several complex configurations. This allows for Casimir energy calculation for large-scale practical problems and significantly speeds up the computations in that case.",2024
s2,Timo Betcke,HCAkiTYAAAAJ:uUvzmPk0f8oC,Testing the Consistency of the Boundary Element Method for Computing the Backscattering Properties of Complex Ice Crystals at Multiple Radar Frequencies,"The backscattering properties of randomly oriented complex rosette ice aggregates at the radar frequencies of about 9, 35, and 94 GHz are computed using the boundary element method. A Monte Carlo model is used to generate the rosette aggregates, and 65 aggregates are selected from the statistical runs that are within ±30% of a mass–dimension relation that is consistent with the Met Office’s cirrus microphysics scheme in its weather and climate models. The area– dimension relationship is shown to be generally consistent with an observed area–size power law. The budding rosettes and rosette aggregates have maximum dimensions between about 10 μm and 1 cm. To test the budding rosette and rosette aggregate model, data from NASA’s IMPACTS campaign are used. The IMPACTS data consists of four frontal snowstorm cases that achieved the best co-incident measurements between the in-situ and …",2024
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:zYLM7Y9cAGgC,Cost-sensitive boosting algorithms: Do we really need them?,,2016
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:_kc_bZDykSQC,Ariel: Enabling planetary science across light-years,,2021
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:3fE2CSJIrl8C,Peeking inside the black box: Interpreting deep-learning models for exoplanet atmospheric retrievals,,2021
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:bEWYMUwI8FkC,Deep learning for intrusion detection systems (IDSs) in time series data,"The advent of computer networks and the internet has drastically altered the means by which we share information and interact with each other. However, this technological advancement has also created opportunities for malevolent behavior, with individuals exploiting vulnerabilities to gain access to confidential data, obstruct activity, etc. To this end, intrusion detection systems (IDSs) are needed to filter malicious traffic and prevent common attacks. In the past, these systems relied on a fixed set of rules or comparisons with previous attacks. However, with the increased availability of computational power and data, machine learning has emerged as a promising solution for this task. While many systems now use this methodology in real-time for a reactive approach to mitigation, we explore the potential of configuring it as a proactive time series prediction. In this work, we delve into this possibility further. More specifically, we convert a classic IDS dataset to a time series format and use predictive models to forecast forthcoming malign packets. We propose a new architecture combining convolutional neural networks, long short-term memory networks, and attention. The findings indicate that our model performs strongly, exhibiting an F1 score and AUC that are within margins of 1% and 3%, respectively, when compared to conventional real-time detection. Also, our architecture achieves an ∼8% F1 score improvement compared to an LSTM (long short-term memory) model.",2024
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:IWHjjKOFINEC,Autoencoder-based multimodal prediction of non-small cell lung cancer survival,"The ability to accurately predict non-small cell lung cancer (NSCLC) patient survival is crucial for informing physician decision-making, and the increasing availability of multi-omics data offers the promise of enhancing prognosis predictions. We present a multimodal integration approach that leverages microRNA, mRNA, DNA methylation, long non-coding RNA (lncRNA) and clinical data to predict NSCLC survival and identify patient subtypes, utilizing denoising autoencoders for data compression and integration. Survival performance for patients with lung adenocarcinoma (LUAD) and squamous cell carcinoma (LUSC) was compared across modality combinations and data integration methods. Using The Cancer Genome Atlas data, our results demonstrate that survival prediction models combining multiple modalities outperform single modality models. The highest performance was achieved with a combination of …",2023
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:r0BpntZqJG4C,Vulnerability identification and assessment for critical infrastructures in the energy sector,"Vulnerability identification and assessment is a key process in risk management. While enumerations of vulnerabilities are available, it is challenging to identify vulnerability sets focused on the profiles and roles of specific organizations. To this end, we have employed systematized knowledge and relevant standards (including National Electric Sector Cybersecurity Organization Resource (NESCOR), ISO/IEC 27005:2018 and National Vulnerability Database (NVD)) to identify a set of 250 vulnerabilities for operators of energy-related critical infrastructures. We have elaborated a “double-mapping” scheme to associate (arbitrarily) categorized assets, with the pool of identified Physical, Cyber and Human/Organizational vulnerabilities. We have designed and implemented an extensible vulnerability identification and assessment framework, allowing historized assessments, based on the CVSS (Common Vulnerability Scoring System) scoring mechanism. This framework has been extended to allow modelling of the vulnerabilities and assessments using the Structured Threat Information eXpression (STIX) JSON format, as Cyber Threat Intelligence (CTI) information, to facilitate information sharing between Electrical Power and Energy Systems (EPES) and to promote collaboration and interoperability scenarios. Vulnerability assessments from the initial analysis of the project in the context of Research and Technology Development (RTD) projects have been statistically processed, offering insights in terms of the assessment’s importance and distribution. The assessments have also been transformed into a dynamic dataset processed to identify and …",2023
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:8k81kl-MbHgC,Lessons learned from the 1st Ariel Machine Learning Challenge: Correcting transiting exoplanet light curves for stellar spots,"The last decade has witnessed a rapid growth of the field of exoplanet discovery and characterization. However, several big challenges remain, many of which could be addressed using machine learning methodology. For instance, the most prolific method for detecting exoplanets and inferring several of their characteristics, transit photometry, is very sensitive to the presence of stellar spots. The current practice in the literature is identifying the effects of spots visually and correcting them manually or discarding the affected data. This paper explores a first step towards fully automating the efficient and precise derivation of transit depths from transit light curves in the presence of stellar spots. The primary focus of the paper is to present in detail a diverse arsenal of methods for doing so. The methods and results we present were obtained in the context of the 1st Machine Learning Challenge organized for the …",2023
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:isC4tDSrTZIC,A machine learning approach for multimodal data fusion for survival prediction in cancer patients,"Technological advancements of the past decade have transformed cancer research, improving patient survival predictions through genotyping and multimodal data analysis. However, there is no comprehensive machine-learning pipeline for comparing methods to enhance these predictions. To address this, a versatile pipeline using The Cancer Genome Atlas (TCGA) data was developed, incorporating various data modalities such as transcripts, proteins, metabolites, and clinical factors. This approach manages challenges like high dimensionality, small sample sizes, and data heterogeneity. By applying different feature extraction and fusion strategies, notably late fusion models, the effectiveness of integrating diverse data types was demonstrated. Late fusion models consistently outperformed single-modality approaches in TCGA lung, breast, and pan-cancer datasets, offering higher accuracy and robustness. This …",2025
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:k_IJM867U9cC,"Classification of Hacker’s Posts Based on Zero-Shot, Few-Shot, and Fine-Tuned LLMs in Environments with Constrained Resources","This paper investigates, applies, and evaluates state-of-the-art Large Language Models (LLMs) for the classification of posts from a dark web hackers’ forum into four cyber-security categories. The LLMs applied included Mistral-7B-Instruct-v0.2, Gemma-1.1-7B, Llama-3-8B-Instruct, and Llama-2-7B, with zero-shot learning, few-shot learning, and fine-tuning. The four cyber-security categories consisted of “Access Control and Management”, “Availability Protection and Security by Design Mechanisms”, “Software and Firmware Flaws”, and “not relevant”. The hackers’ posts were also classified and labelled by a human cyber-security expert, allowing a detailed evaluation of the classification accuracy per each LLM and customization/learning method. We verified LLM fine-tuning as the most effective mechanism to enhance the accuracy and reliability of the classifications. The results include the methodology applied and the labelled hackers’ posts dataset.",2025
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:hFOr9nPyWt4C,Quantifying the advantage of multimodal data fusion for survival prediction in cancer patients,"The last decade has seen an unprecedented advance in technologies at the level of high-throughput molecular assays and image capturing and analysis, as well as clinical phenotyping and digitization of patient data. For decades, genotyping (identification of genomic alterations), the casual anchor in biological processes, has been an essential component in interrogating disease progression and a guiding step in clinical decision making. Indeed, survival rates in patients tested with next-generation sequencing have been found to be significantly higher in those who received a genome-guided therapy than in those who did not. Nevertheless, DNA is only a small part of the complex pathophysiology of cancer development and progression. To assess a more complete picture, researchers have been using data taken from multiple modalities, such as transcripts, proteins, metabolites, and epigenetic factors, that are routinely captured for many patients. Multimodal machine learning offers the potential to leverage information across different bioinformatics modalities to improve predictions of patient outcome. Identifying a multiomics data fusion strategy that clearly demonstrates an improved performance over unimodal approaches is challenging, primarily due to increased dimensionality and other factors, such as small sample sizes and the sparsity and heterogeneity of data. Here we present a flexible pipeline for systematically exploring and comparing multiple multimodal fusion strategies. Using multiple independent data sets from The Cancer Genome Atlas, we developed a late fusion strategy that consistently outperformed unimodal models …",2024
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:YOwf2qJgpHMC,Fast regression of the tritium breeding ratio in fusion reactors,"The tritium breeding ratio (TBR) is an essential quantity for the design of modern and next-generation D-T fueled nuclear fusion reactors. Representing the ratio between tritium fuel generated in breeding blankets and fuel consumed during reactor runtime, the TBR depends on reactor geometry and material properties in a complex manner. In this work, we explored the training of surrogate models to produce a cheap but high-quality approximation for a Monte Carlo (MC) TBR model in use at the UK Atomic Energy Authority. We investigated possibilities for dimensional reduction of its feature space, reviewed 9 families of surrogate models for potential applicability, and performed hyperparameter optimization. Here we present the performance and scaling properties of these models, the fastest of which, an artificial neural network, demonstrated  and a mean prediction time of , representing a relative …",2023
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:GnPB-g6toBAC,"Deep Learning for Intrusion Detection Systems (IDSs) in Time Series Data. Future Internet 2024, 16, 73","The advent of computer networks and the internet has drastically altered the means by which we share information and interact with each other. However, this technological advancement has also created opportunities for malevolent behavior, with individuals exploiting vulnerabilities to gain access to confidential data, obstruct activity, etc. To this end, intrusion detection systems (IDSs) are needed to filter malicious traffic and prevent common attacks. In the past, these systems relied on a fixed set of rules or comparisons with previous attacks. However, with the increased availability of computational power and data, machine learning has emerged as a promising solution for this task. While many systems now use this methodology in real-time for a reactive approach to mitigation, we explore the potential of configuring it as a proactive time series prediction. In this work, we delve into this possibility further. More …",2024
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:YFjsv_pBGBYC,Planetary edge trends-I. The inner edge–stellar mass correlation,"Context. Recent advancements in exoplanet detection have led to over 5900 confirmed detections. The planetary systems hosting these exoplanets exhibit remarkable diversity.Aims. The position of the innermost planet (i.e., the inner edge) in a planetary system provides important information about the relationship of the entire system to its host star properties, offering potentially valuable insights into planetary formation and evolution processes.Methods. In this work, based on the Kepler Data Release 25 catalog combined with LAMOST and Gaia data, we investigate the correlation between stellar mass and the inner edge position across different populations of small planets in multi-planetary systems, such as super-Earths and sub-Neptunes. By correcting for the influence of stellar metallicity and analyzing the impact of observational selection effects, we confirm the trend that as stellar mass increases, the position …",2025
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:blknAaTinKkC,"Extreme learning machines for exoplanet simulations: a faster, lightweight alternative to deep learning","Increasing resolution and coverage of astrophysical and climate data necessitates increasingly sophisticated models, often pushing the limits of computational feasibility. While emulation methods can reduce calculation costs, the neural architectures typically used – optimized via gradient descent – are themselves computationally expensive to train, particularly in terms of data generation requirements. This paper investigates the utility of the extreme learning machine (ELM) as a lightweight, non-gradient-based machine learning algorithm for accelerating complex physical models. We evaluate ELM surrogate models in two test cases with different data structures: (i) sequentially structured data, and (ii) image-structured data. For test case (i), where the number of samples  the dimensionality of input data d, ELMs achieve remarkable efficiency, offering a 100 000 faster training time and a 40 faster prediction speed …",2025
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:JV2RwH3_ST0C,AGM-TE: Approximate Generative Model Estimator of Transfer Entropy for Causal Discovery,"The discovery of causal interactions from time series data is an increasingly common approach in science and engineering. Many of the approaches for solving it rely on an information-theoretic measure called transfer entropy [TE] to infer directed causal interactions. However, TE is difficult to estimate from empirical data, as non-parametric methods are hindered by the curse of dimensionality, while existing ML methods suffer from slow convergence or overfitting. In this work, we introduce AGM-TE, a novel ML method that estimates TE using the difference in the predictive capabilities of two alternative probabilistic forecasting models. In a comprehensive suite of TE estimation benchmarks [with 100+ tasks], AGM-TE achieves SoTA results in terms of accuracy and data efficiency when compared to existing non-parametric and ML estimators. AGMTE further differentiates itself with the ability to estimate conditional transfer entropy, which helps mitigate the effect of confounding variables in systems with many interacting components. We demonstrate the strengths of our approach empirically by recovering patterns of brain connectivity from 250+ dimensional spike data that are consistent with known neuroanatomical results. Overall, we believe AGM-TE represents a significant step forward in the application of transfer entropy to problems of causal discovery from observational time series data.",2025
s3,Nikos Nikolaou,R6b6Rp8AAAAJ:HDshCWvjkbEC,Statistical Analysis of Solar Irradiance Variability,"Solar photovoltaic (PV) generation forecasting is an important tool to power system operators, but struggles under conditions of intermittent solar irradiance. Although studying and forecasting irradiance itself has been the subject of much research, little progress has been made on the variability (or fluctuation) of irradiance and its statistical properties, despite it being an important parameter in generation forecasting, state estimation and other power system applications. This paper takes a close look into the statistical nature of irradiance variability and shows that it can be sufficiently modeled by a Gaussian Mixture Model (GMM) of six components. Furthermore, an investigation on the required time resolution demonstrates that sub-minute resolution is necessary to accurately capture irradiance variability. The analysis is performed on a one-second resolution irradiance dataset provided by NREL.",2024
